hotel,count,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,1,131,2016,May,20,13,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,114.3,0,1,Canceled,2016/5/5
City Hotel,1,0,28,2017,February,7,12,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,67.15,0,1,Check-Out,2017/2/17
City Hotel,1,0,74,2016,September,39,24,0,1,1,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,157.0,,0,Transient,97.92,0,0,Check-Out,2016/9/25
City Hotel,1,0,11,2015,October,41,9,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Contract,155.0,0,2,Check-Out,2015/10/10
City Hotel,1,1,198,2016,September,37,9,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,120.0,0,0,Canceled,2016/3/15
City Hotel,1,0,320,2016,August,34,18,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016/8/20
City Hotel,1,0,180,2016,May,19,2,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,100.0,0,1,Check-Out,2016/5/4
City Hotel,1,1,146,2017,April,15,10,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,9.0,,0,Transient,121.33,0,2,Canceled,2016/12/28
City Hotel,1,0,152,2017,February,7,13,1,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,54.71,0,2,Check-Out,2017/2/18
City Hotel,1,1,274,2016,April,15,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015/10/21
City Hotel,1,0,0,2016,March,10,2,6,15,1,0.0,0,BB,GNB,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient-Party,75.65,0,0,Check-Out,2016/3/23
City Hotel,1,0,33,2016,September,37,10,2,2,2,2.0,0,BB,MAR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,207.9,0,2,Check-Out,2016/9/14
City Hotel,1,1,166,2017,March,12,25,2,2,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,1,Canceled,2017/2/9
City Hotel,1,1,333,2016,September,39,20,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,58.0,,19,Transient,90.0,0,0,Canceled,2015/11/11
City Hotel,1,0,175,2016,July,30,23,1,1,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.5,0,1,Check-Out,2016/7/25
City Hotel,1,0,0,2017,March,10,9,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,103.0,0,0,Check-Out,2017/3/10
City Hotel,1,1,45,2017,July,29,20,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,117.0,0,0,Canceled,2017/6/12
City Hotel,1,0,37,2017,August,33,17,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,1,Check-Out,2017/8/20
City Hotel,1,1,186,2017,May,22,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,130.0,0,0,Canceled,2016/11/25
City Hotel,1,1,137,2016,May,19,5,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,0,Canceled,2016/3/10
City Hotel,1,0,88,2016,March,10,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,60.0,0,1,Check-Out,2016/3/7
City Hotel,1,1,100,2016,September,40,28,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient-Party,100.0,0,0,Canceled,2016/8/23
City Hotel,1,1,7,2017,June,24,17,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,180.0,0,1,Canceled,2017/6/11
City Hotel,1,0,4,2016,January,2,8,1,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,70.0,0,0,Check-Out,2016/1/11
City Hotel,1,1,286,2016,May,21,17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,75,Transient,65.0,0,0,Canceled,2015/10/19
City Hotel,1,1,275,2016,June,23,4,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,5.0,,69,Transient,62.8,0,0,Canceled,2015/11/11
City Hotel,1,0,1,2016,January,4,20,0,1,2,0.0,0,BB,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,91.0,0,1,Check-Out,2016/1/21
City Hotel,1,0,66,2016,October,44,25,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,99.2,0,1,Check-Out,2016/10/29
City Hotel,1,0,278,2017,August,34,25,2,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,89.1,0,1,Check-Out,2017/8/30
City Hotel,1,1,80,2016,April,16,12,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.5,0,1,Canceled,2016/1/26
City Hotel,1,1,314,2015,August,35,27,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015/1/1
City Hotel,1,1,135,2016,May,22,28,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,96.0,0,0,Canceled,2016/2/9
City Hotel,1,1,56,2016,March,14,29,0,3,3,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,123.3,0,1,Canceled,2016/2/5
City Hotel,1,0,88,2015,October,41,5,1,1,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,26.0,,77,Transient-Party,90.6,0,0,Check-Out,2015/10/7
City Hotel,1,0,0,2017,January,4,24,0,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,0,Check-Out,2017/1/26
City Hotel,1,0,23,2017,May,20,19,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,85.0,,0,Transient,99.0,0,0,Check-Out,2017/5/20
City Hotel,1,0,101,2017,June,24,11,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,28.0,,0,Transient,112.5,0,0,Check-Out,2017/6/14
City Hotel,1,1,78,2017,January,4,23,2,5,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,108.0,0,0,Canceled,2016/11/14
City Hotel,1,0,2,2016,July,29,10,2,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,7,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2016/7/12
City Hotel,1,0,32,2016,October,41,6,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,157.5,0,2,Check-Out,2016/10/8
City Hotel,1,1,37,2015,September,39,21,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,145.8,0,2,Canceled,2015/9/10
City Hotel,1,0,0,2017,January,3,18,0,1,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,152.0,,0,Transient,58.31,0,0,Check-Out,2017/1/19
City Hotel,1,1,12,2016,February,9,23,0,1,2,0.0,0,SC,HND,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.0,0,0,Canceled,2016/2/17
City Hotel,1,1,233,2016,August,35,22,1,4,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,158.95,0,0,Canceled,2016/5/17
City Hotel,1,1,126,2016,July,28,6,0,4,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,97.75,0,0,Canceled,2016/6/14
City Hotel,1,0,121,2017,August,34,23,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,95.0,0,1,Check-Out,2017/8/26
City Hotel,1,1,69,2016,June,25,12,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236.0,,0,Transient,120.0,0,0,Canceled,2016/5/4
City Hotel,1,0,33,2016,July,27,1,0,1,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,9.0,,0,Transient,152.1,0,2,Check-Out,2016/7/2
City Hotel,1,0,82,2017,August,35,27,2,2,1,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85.0,,0,Transient,89.1,0,0,Check-Out,2017/8/31
City Hotel,1,0,94,2016,August,32,4,0,2,0,2.0,0,BB,BEL,Direct,Direct,0,0,0,B,B,0,No Deposit,14.0,,0,Transient,90.25,0,1,Check-Out,2016/8/6
City Hotel,1,0,47,2016,September,39,21,0,2,1,0.0,0,BB,CHE,Direct,Direct,0,0,0,D,D,2,No Deposit,,,0,Transient,140.0,0,0,Check-Out,2016/9/23
City Hotel,1,0,0,2016,July,28,9,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,139.0,0,0,Check-Out,2016/7/10
City Hotel,1,1,230,2016,September,39,18,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,9.0,,0,Transient,109.65,0,1,Canceled,2016/2/1
City Hotel,1,0,86,2017,August,31,3,0,2,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient-Party,112.5,0,3,Check-Out,2017/8/5
City Hotel,1,0,66,2016,May,20,14,2,2,3,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,86.0,,0,Transient,147.56,0,1,Check-Out,2016/5/18
City Hotel,1,0,154,2017,March,13,26,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,72.07,0,1,Check-Out,2017/3/29
City Hotel,1,0,149,2017,June,25,24,0,1,2,0.0,0,HB,USA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,495.0,,0,Transient-Party,154.0,0,1,Check-Out,2017/6/25
City Hotel,1,0,5,2015,August,33,11,4,15,2,0.0,0,BB,USA,Direct,Direct,0,0,0,A,A,4,No Deposit,14.0,,0,Transient,75.0,0,2,Check-Out,2015/8/30
City Hotel,1,1,23,2015,October,41,7,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,1,0,A,A,0,No Deposit,,,0,Transient,90.0,0,0,Canceled,2015/9/18
City Hotel,1,0,96,2017,April,15,9,2,1,2,0.0,0,BB,LUX,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,89.1,0,0,Check-Out,2017/4/12
City Hotel,1,0,323,2016,May,21,17,0,4,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,3.0,,0,Transient-Party,86.0,0,0,Check-Out,2016/5/21
City Hotel,1,0,6,2016,November,48,24,2,3,1,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,68.67,0,0,Check-Out,2016/11/29
City Hotel,1,1,252,2016,December,53,28,2,9,2,2.0,0,BB,CHE,Online TA,TA/TO,0,0,0,B,B,3,No Deposit,9.0,,0,Transient,148.58,0,2,Canceled,2016/10/12
City Hotel,1,1,88,2017,May,19,7,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,89.1,0,0,Canceled,2017/2/8
City Hotel,1,0,19,2015,July,30,25,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,1,Check-Out,2015/7/29
City Hotel,1,0,9,2017,June,25,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,153.0,0,0,Check-Out,2017/6/21
City Hotel,1,0,48,2016,November,46,6,2,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2016/11/11
City Hotel,1,1,11,2015,August,35,28,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,90.0,0,2,Canceled,2015/8/26
City Hotel,1,0,66,2017,June,26,30,0,2,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,190.0,0,2,Check-Out,2017/7/2
City Hotel,1,1,81,2016,April,18,24,2,3,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,110.16,0,0,Canceled,2016/2/11
City Hotel,1,1,31,2017,August,32,11,0,1,2,3.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,8.0,,0,Transient,352.5,0,1,Canceled,2017/7/12
City Hotel,1,1,68,2015,October,42,11,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,8.0,,0,Transient-Party,89.25,0,1,Canceled,2015/8/22
City Hotel,1,1,72,2017,February,7,13,1,5,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,2,Canceled,2016/12/6
City Hotel,1,0,0,2015,November,48,22,1,0,2,0.0,0,BB,MAR,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,89.0,0,0,Check-Out,2015/11/23
City Hotel,1,1,56,2017,February,5,1,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,60.0,0,0,Canceled,2016/12/7
City Hotel,1,0,38,2015,November,45,5,1,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,,0,Group,60.0,0,0,Check-Out,2015/11/9
City Hotel,1,0,174,2016,November,45,1,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.9,0,3,Check-Out,2016/11/4
City Hotel,1,0,4,2016,May,22,24,0,2,1,0.0,0,BB,JPN,Direct,Direct,0,0,0,E,E,1,No Deposit,,,0,Transient,160.0,0,0,Check-Out,2016/5/26
City Hotel,1,1,163,2017,April,16,20,1,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,1,Canceled,2017/3/26
City Hotel,1,0,9,2017,July,29,16,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.0,0,1,Check-Out,2017/7/17
City Hotel,1,0,63,2016,July,31,28,0,1,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,9.0,,0,Transient,137.7,0,2,Check-Out,2016/7/29
City Hotel,1,1,250,2017,July,29,21,0,2,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,1,Canceled,2017/1/3
City Hotel,1,1,178,2017,July,27,7,0,2,2,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,143.1,0,0,Canceled,2017/3/27
City Hotel,1,1,80,2017,January,3,20,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,0,Canceled,2017/1/4
City Hotel,1,0,0,2015,September,38,14,1,0,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13.0,,0,Contract,111.2,0,0,Check-Out,2015/9/15
City Hotel,1,1,475,2016,October,44,27,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015/10/21
City Hotel,1,0,1,2016,June,27,26,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,137.67,0,1,Check-Out,2016/6/29
City Hotel,1,0,138,2017,August,33,19,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.0,0,2,Check-Out,2017/8/20
City Hotel,1,1,112,2017,April,14,4,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,385.0,0,Transient,95.0,0,0,Canceled,2017/1/20
City Hotel,1,0,7,2017,February,7,13,1,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1,Check-Out,2017/2/15
City Hotel,1,0,3,2016,June,27,26,2,0,2,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,,0,Transient,113.0,0,2,Check-Out,2016/6/28
City Hotel,1,1,89,2015,August,33,11,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,0,Canceled,2015/5/29
City Hotel,1,1,198,2015,December,49,5,2,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,90.0,0,0,Canceled,2015/10/23
City Hotel,1,0,75,2017,January,2,8,2,1,1,0.0,0,BB,USA,Groups,TA/TO,0,0,0,D,D,0,No Deposit,330.0,,0,Transient-Party,67.0,0,2,Check-Out,2017/1/11
City Hotel,1,0,51,2015,October,44,28,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,62.21,0,0,Check-Out,2015/11/1
City Hotel,1,0,54,2016,December,53,25,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,72.63,0,2,Check-Out,2016/12/30
City Hotel,1,1,188,2016,June,25,15,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,119.0,,39,Transient,130.0,0,0,Canceled,2016/1/18
City Hotel,1,1,189,2016,October,44,28,1,2,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,109.8,0,0,Canceled,2016/9/26
City Hotel,1,1,65,2016,September,37,9,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,149.4,0,1,Canceled,2016/9/5
City Hotel,1,1,279,2015,July,30,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,2014/10/17
City Hotel,1,1,15,2017,February,7,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,95.0,0,0,Canceled,2017/2/2
City Hotel,1,1,358,2016,June,27,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015/10/21
City Hotel,1,0,28,2017,May,20,16,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,141.33,0,3,Check-Out,2017/5/19
City Hotel,1,1,206,2017,April,16,22,2,1,1,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.8,0,0,Canceled,2017/3/10
City Hotel,1,0,65,2017,March,11,14,0,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Check-Out,2017/3/17
